,District,Localbody,Announced date,WardNum
0,THIRUVANANTHAPURAM,PANGODE,14-04-2021,3
1,KOZHIKODE,VILLIYAPPALLY,28-04-2021,2
2,THIRUVANANTHAPURAM,PANGODE,14-04-2021,16
3,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,1
4,PATHANAMTHITTA,KOIPURAM,02-06-2021,3
5,IDUKKI,KATTAPPANA,27-04-2021,25
6,THIRUVANANTHAPURAM,PANGODE,14-04-2021,17
7,IDUKKI,KOKKAYAR,27-04-2021,5
8,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,5
9,KOZHIKODE,KEEZHARIYUR,30-04-2021,11
10,THIRUVANANTHAPURAM,KANJIRAMKULAM,12-05-2021,1
11,THIRUVANANTHAPURAM,PANGODE,14-04-2021,18
12,THIRUVANANTHAPURAM,KANJIRAMKULAM,12-05-2021,2
13,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,2
14,THIRUVANANTHAPURAM,PANGODE,14-04-2021,19
15,IDUKKI,VELLATHOOVAL,27-04-2021,4
16,IDUKKI,VELLATHOOVAL,27-04-2021,17
17,THIRUVANANTHAPURAM,THIRUVANATHAPURAM,28-03-2021,49
18,KOZHIKODE,KEEZHARIYUR,30-04-2021,2
19,PATHANAMTHITTA,ERAVIPEROOR,31-05-2021,7
20,KOZHIKODE,KAVILUMPARA,27-04-2021,11
21,KOZHIKODE,KODIYATHUR,29-04-2021,2
22,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,4
23,THIRUVANANTHAPURAM,ARYANAD,30-03-2021,9
24,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,6
25,MALAPPURAM,TANALUR,01-06-2021,11
26,THIRUVANANTHAPURAM,KALLARA,30-03-2021,5
27,KOTTAYAM,KURICHY,09-05-2021,4
28,PATHANAMTHITTA,KUNNATHANAM,29-05-2021,12
29,KANNUR,AZHIKODE,10-05-2021,17
30,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,6
31,THIRUVANANTHAPURAM,KALLARA,30-03-2021,16
32,IDUKKI,VELLATHOOVAL,27-04-2021,3
33,ERNAKULAM,NJARAKKAL,27-04-2021,13
34,PALAKKAD,PALAKKAD,31-03-2021,27
35,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,1
36,PALAKKAD,AKATHETHARA,03-04-2021,5
37,IDUKKI,VELLATHOOVAL,27-04-2021,9
38,KOTTAYAM,KURICHY,09-05-2021,5
39,IDUKKI,VELLATHOOVAL,27-04-2021,16
40,PATHANAMTHITTA,ERAVIPEROOR,30-05-2021,12
41,PALAKKAD,LAKKIDIPERUR,16-04-2021,14
42,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,7
43,KOTTAYAM,KURICHY,09-05-2021,8
44,PATHANAMTHITTA,CHITTAR,02-06-2021,2
45,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,8
46,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,11
47,MALAPPURAM,TANALUR,01-06-2021,12
48,IDUKKI,THODUPUZHA,27-04-2021,32
49,ERNAKULAM,NJARAKKAL,27-04-2021,14
50,KANNUR,AZHIKODE,10-05-2021,9
51,IDUKKI,VAZHATHOPE,27-04-2021,9
52,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,12
53,IDUKKI,KANJIKUZHY,27-04-2021,5
54,ERNAKULAM,NJARAKKAL,27-04-2021,15
55,MALAPPURAM,TANALUR,01-06-2021,13
56,IDUKKI,KANJIKUZHY,27-04-2021,16
57,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,13
58,ERNAKULAM,NJARAKKAL,27-04-2021,16
59,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,14
60,KOTTAYAM,KURICHY,09-05-2021,17
61,KOTTAYAM,UDAYANAPURAM,09-05-2021,2
62,MALAPPURAM,TANALUR,01-06-2021,14
63,IDUKKI,ADIMALY,27-04-2021,6
64,THRISSUR,MULAMKUNNATHUKAVU,28-04-2021,2
65,THRISSUR,CHOONDAL,28-04-2021,1
66,ERNAKULAM,NARAYAMBALAM,30-04-2021,14
67,MALAPPURAM,ABDUL RAHIMAN NAGAR,04-06-2021,15
